essay,emotion
previous article says countless acts hate carried since win day one donald america came countless acts hate carried supporters several marginalized groups day two different days following since election day acts election related intimidation harassment across according survey southern poverty law center people types communities black latino muslim jewish asian queer people women physically harmed slandered hate speech targets racist graffiti live fear safety trump supporters feel emboldened ever express,anger
article new global warming study warns desert southern spain future climate scientists france shared study week possible grim future awaiting country spain earth whole warned climate change continues deserts middle east expand mediterranean even reach southern spain transforming deciduous forests barren lands hostile plants animals course including humans last year hundreds countries around globe signed non binding agreement known paris agreement main goal stop global warning implementing keeping long term solutions target keep temperature rising degrees celsius degrees fahrenheit,neutral
article says shannen doherty shares cancer story chelsea handler emotional tear filled interview shannen doherty recalled like diagnosed cancer emotional new interview chelsea handler sit set air netflix show chelsea actress holds back tears revealing learned health crisis think beautiful hard interesting cancer tears builds tears builds beverly hills says clip remakes many different times person thought supposed going thought six months ago somebody completely different realize,sadness
article says trump supporters harassing minorities stop donald trump sunday told supporters stop harassing minorities first televised sit interview since becoming president elect saddened hear trump told cbs lesley stahl minutes said latinos muslims facing harassment say stop helps say say right cameras stop trump directed comments supporters said written racist slogans chanted degrading messages particularly schools powerful appeal nation ripped apart divisive campaign trump election left democrats angry many minorities fearful future,anger
hello friend lately somewhat depressed article read recently helped lot realized article problem interested events happening example vaccinate treat cattle due illness use cowboys control cope manage control reproduction,sadness
hello friend lately curiosity article read recently helped lot realized article problem interested events happening example study published online journal current biology revealed period years half size amazon twice size state alaska exhausted,surprise
hello lately curious article read recently said instagram publication mother reached almost likes account likes account quarter bodies project birth without fear also published photo facebook reached likes realized article problem interested events happening one,surprise
hello tell something friend curiosity article read recently said donald trump elected president united states next day man discovered someone painted swastikas abandoned store south philadelphia hoping type information could article,neutral
hello tell something article read recently said millions nigerians survived boko haram humanitarian catastrophe putting lives risk wise information think important information seems would consider news happen even television,surprise
girl beautiful green eyes pictured years ago photographer currently arrest falsifying documents stay pakistan feel bad woman felt need lie status citizenship stay country continue living better life second time arrested shows really trying escape war ravaged country continue living better life let girl go good original photographer trying help situation,sadness
global warming fires considered linked one another resident california surprising unfortunately nation need open eyes realize impact environment even worse president words feel though global warming fabrication going cost us money fire fighting department going see way worse side affects problem,sadness
article ridiculous see need protesting freedom speech rights people need peaceful protest using armed militias stand protest going fundamentals liberals stand think group repercussions,anger
torn comes one feel bad horrible way die sister definitely need see also understand would careless wander trail clearly marked shouldnt leaving would paid attention didnt carelessly listen rules situation could avoided,sadness
terrible really solidifies everything feel racially tense issues going america right fueled current president one ever victim senseless act type person equal matter religion race anything need really open eyes realize needs love world,sadness
think article bit hard read environment el nino interact article also pollution environment changed certain chemicals air science based article little hard understand conclusion,neutral
read article think story read many times isis claims person part army evidence person supported also shows almost impossible tell whether someone become terrorist based personality religion,neutral
think hard determine things like unless entire program community monitored money spent versus number children taught learning process hard determine think connecting schools important though children learning computers time workplace jobs may changed,neutral
think china real problem safety standards many accidents various industries really sad place economic growth human lives implement safety standards lose many lives potential workers people care children,sadness
hard believe would go probably want economic growth need extra airport runways residents understandably upset lose homes likely compensated think politicians said would vote expansion change minds voted,fear
system failed us continues fail us daily idea foster care system allows brothers split apart came together insane strange treat human life less important wish people would wake old world ideals behavior thanks century advent film story telling mechanic ability able share stories bigger level believe still operate disgusted modern culture governmental system sham slaves,fear
scum bag stealing naked pictures people simply celebrities make money blows mind level shit people order make buck seems like people treat celebrities people people leave negative comments celebrity pages taking new level people say shittiest things hiding behind computer screen particular guy took extreme stealing private photos,anger
amazement acts random humans never ceases often question another random human mixed shit hole call planet earth unlimited empathy level even squash bug people go way run animal crossing road humans rather sadistic disgusting individuals every single day life hear crazy story someone beating something death,disgust
positions power always inevitably taken corrupt greedy type individual group people time person authority another person eventually things go bad whether kings demanding get deflower bride wedding day law united states government attempting strip freedoms us already slaves acts corruption acts cowardice scum bag gangsters wear suits,disgust
given faith humanity certain events transpire make shudder core reading multiple articles today shitty people one another makes beyond happy know individuals personal life human greed knows bounds human ego needs set aside destroyed,anger
hey read insane article situation aleppo even realize bad people dying hope future really makes appreciate everything life article makes problems seem trivial insignificant comparison anyway check,sadness
dude pretty messed stuff going feel like every time turn news open newspaper reading pedophilia going world feel like much common anyone realizes given moment could walking past someone sexually attracted children crazy think really scary,fear
know people tend get really angry law enforcement shooting bombing get prevented feel like way complicated issue read article law enforcement keep enough information follow enough leads prevent every attack would need sacrifice lot civil liberties worth,neutral
read old couple died water apparently may kind health conditions nobody really knows people checked bodies think probably heart attacks killed anyway really scary think given moment hearts stop working gone forever,fear
read group people celebrating halloween got hit car makes wonder people irresponsible children riding back trailer got hit another car unsafe even want adults let alone children,anger
read terrible article war terrorism even imagine fear people living forced homes threats death conditions area terrible low supplies including food prices everything inflated prices even afford literally cannot imagine living place like many others senseless killings area already would fear life family,fear
read article infant orangutan sad several orangutans rescued illegal dealer taken rescue center infant orangutan sudden collapsed cage meningitis deadly getting amazing care center though sure hope pulls extra money right donate organization,sadness
mayor bodyguards philippines shot killed local law enforcement illegal drug business elected take stance drugs really weird think mayor one taking part illegal drug trade makes wonder really trust said narco politician sad think people even trust mayor,sadness
read article gender gap world today sadly us moved list behind major european countries guess number women working senior positions shrinking also decline women labor force evidence education gender gap shrinking women educated seems women choosing work,sadness
read article women encouraging women get iud trump took office worried trump office restrict women access affordable birth control think iud last long women get soon think women need getting iud ways prevent pregnancy really concerned condoms work well,fear
guy got fucked sucks nothing really things besides deal always going inefficiency points failure bureaucratic system right maybe cops get shit together sort jump bureaucratic hoops initial mistake,anger
shit happens people die real reason time unfortunate people alone special grief maybe ride found mechanically defective sue gets money otherwise another sad story many others like world,sadness
kind thing happens north korea time country little usable farmland weather disruption major problem happened arduous march kim il sung died country couple bad years drought flooding suddenly everyone starving,fear
really figure earthquakes due fracking wastewater stop practice politicians concerned plight ordinary people though fracking companies lobbyists money victims earthquakes neither ultimately nothing get addressed unless something catastrophic happens,anger
feel pretty indifferent kind thing overall fair men time society conditioned way higher demand female models lower demand male models society unfair lot ways one ways women benefit men,neutral
dear friend read horrific story coming hong kong man wealthy hong kong banker murdered two young women apartment gruesome sadistic fashion tortured repeatedly inside luxurious downtown apartment near hong kong red light district planned torture tools sex toys cut short one women started screaming loudly apartment slit throat stuffed body suitcase,disgust
dear friend finished reading upsetting tragic article told story young teenage girl india named insha mushtaq lost vision years old shot repeatedly pellets hospitals months trying regain vision far successful trying stay positive knows difficult road ahead hope regains sight,sadness
dear friend finished reading heartbreaking article read story man wesley dell wife finding tortured dead kitten side road kitten wrapped electrical cords jaw ripped apart body already stiff found dell wide asking people share story attempt bring awareness animal abuse try prevent future,sadness
dear friend finished reading interesting somewhat disturbing article thomas arthur inmate death row alabama began massive legal battle courts justices lawyers legality morality lethal injection practices feel conflicted one hand people committed unthinkable crimes deserve severe punishment hand taking life may still justifiable,sadness
dear friend read ridiculously vapid article kim kardashian posting photos jewelry instagram nearly mugged last year article explaining bad idea show expensive diamonds online think story silly weightless dont really see anyone could care,neutral
need considerate climate change effects dangerous ignore easy recognize moral imperative fulfill obligations society would remiss deny exact warning signs know scientists dedicated entire lives towards subject climate change heed collective warning immediately,neutral
everything smoking dangers posed children epidemic rats waste products even refugee crises surrounding greece problematic situations situations approached different perspective require focused specialized touch,neutral
upsurge violent deaths troubling terrifying prospect face based fbi statistics good measure society health see dangerous statistics need everything help mitigate crisis collision buses inside lincoln terminal another terrible tragedy could avoided proper course action taken,anger
horrifying see dog subjected cruel fate brings attention numerous cases fatalism could prevented careful inspection care one pets dogs deserve better us obligation human beings provide care animals much possible,sadness
someone happens celebrity mean suffering less valid average person learn recognize society must come understand universal nature suffering applicable people one status life leave open suffering others,sadness
according dr jack drescher leading specialist critic conversion therapy practices one set practices understood used conversion therapy tried kinds things none really work told huffington post drescher also said majority research surrounding conversion therapy taken place adults undergone process little research surrounding lgbtq youth conversation therapy practices course anecdotal stories said children reported running away home cases news young people family found came family insisted go conversion therapy,neutral
days hazy pall spread across much northern georgia including metro atlanta home million people state officials warned air unhealthy cautioned people breathing problems stay indoors much possible state firefighters scrambling quench blazes currently active officials told people avoid starting new fires could quickly spread cigar butt away disaster said john williams adventure guide amicalola falls state park near southern terminus appalachian trail georgia,sadness
mayor duterte list local officials branded narco politicians allegedly ties illegal drug world according cnn affiliate cnn philippines along wife surrendered provincial police august clear names deny involvement roadblock early friday morning armed encounter dimaukom men police ensued report says law enforcement officials responding fire mayor bodyguards leaving men dead duterte elected office may platform hardline crackdown crime particularly illegal drugs since taking office early june police force waged bloody war drug dealers users resulting deaths hundreds filipino drug suspects,anger
person thought supposed going thought six months ago somebody completely different realize really thought brave gracious entire time really hiding handler whose mom died breast cancer got choked emotional interview cry cry doherty told talk show host handler tried hold back tears mean right hold second handler said tilting head back keep tears streaming face hard humbling already humbled cancer doherty continues hard sense rethinking sort come terms,surprise
squirrel entered building activity room jumping people biting scratching woman told dispatcher according audio volusia county office need help call people background cried help feel lightheaded one person said feel good anybody need ambulance take hospital dispatcher said know need go ambulance need care people staff member told still people bleeding everybody room dispatcher said caller asked others anyone left activity room activity room empty another person,neutral
said would stop returning field help save wildlife van niekerk said called last weekend assist ranger caught poacher near sabi river colleagues four mozambican police officers transporting poacher station away escaped vehicle chased poacher caught handed back police officer suddenly mob community started moving towards us said van niekerk police officers ran away rangers targets,neutral
outer boom put place contain spilled oil broke free friday causing oil spread bad weather prevented clean crews working spill four consecutive days saturday salvage crews recovered percent liters fuel estimated vessel damage already done,neutral
cohen moved new york age break music business long critics comparing bob dylan lyrical force songwriting although influenced many musicians many honors including induction rock roll hall fame order canada cohen rarely made pop music charts sometimes moody folk rock ardent admirers compared works spiritual prophecy sang religion references jesus christ jewish traditions well love sex political upheaval regret called search kind balance chaos existence,joy
hundreds people marched city disrupting traffic spray painting graffiti authorities reported instances vandalism assault rally organizers billed peaceful earlier day parts country spirited demonstrations college campuses peaceful marches along downtown streets taken place since wednesday advertisement mainly peaceful protest people ended los angeles early saturday arrests failure disperse police broke lingering demonstration hundreds joined friday afternoon washington square park manhattan,anger
government kenya week revealed accepted request office unhcr commissioner refugees filippo grandi extend deadline completion repatriation somali refugees eventual closure world largest refugee complex six months speak friend,joy
look article notice anything missing yeah sources kind backing claims sources supposed real estate developers giving false data watch well feelings beat straw man set think noticed long chicken little going yet still fallen sky,neutral
look nonsense put dudes moon videochat across planet anyone like still make containers fuel leak everywhere know cui bono thing told point think someone probably environazis benefit enough keep build pipelines oil oh right environazis complete trash heap left behind protest,surprise
aw look know pete burns died glad happy surgeries life even hot man gorgeous voice pretty ones often wrong kind crazy go listen song going stuck head day,sadness
wow let get straight german consulate invaders middle east north africa pouring europe like camp saints refugees complain racists idea muslims arabs whatever else supposed notice week go back middle east invading consulates embassies happy go back came never speak us ugh taliban yeah word looking muslims muslims problem taliban,disgust
ha get snake proud snake want crushed angry python maybe use poor thing tricks people mean crushing warm thing stops moving kind giant snakes hope kill snake poor baby defending basically,surprise
really feel much anything read sort incident since happens time guess come something would say feel vaguely annoyed irritated see people manage watch sports games orderly non violent manner fact deal nonsense every time popular sporting event happens irritating think difficult people conduct appropriately frustrating sort thing happens often sporting events,anger
obviously think sad animal dead since love animals mostly feel reading story aggravation really annoys worries people insist climate change political issue see effects everywhere including form current extinction crisis know particular one due fungus part trend might related makes think always feel frustrated worried future whenever reminded extinctions like problems going keep happening conservatives refuse acknowledge problem even exists could fixed probably irritates,sadness
really feel much anything reading think celebrity deaths common news really difficult conjure emotion guess feel mild interest learned facts singer song heard fairly often years interesting new information always feels rewarding way guess feel sad think possible feel sadness every time read someone dead makes feel bit tired suppose,surprise
story makes feel upset aggravated hate easy obtain guns country truly believe reason anyone gun wish laws would change make case always feel frustrated reading random shootings hate subject everyone else violent whims long easily purchase gun makes feel angry also worried also feel sort exhausted since happens news much feels like yet another shooting story aware tiring,anger
story specifically make feel anything since know people feel like tried emotions every victim crime read would require much mental effort broader sense however feel frustrated tired deal men committing acts violence women constantly simply especially cases like seem much prior warning irritating awful trend makes feel sort disgusted state world way,anger
feel sorry person family children father never know makes people commit terrible acts evil life taken blink eye need make sure loved ones know much care much good world never know last day earth going,sadness
think wraparound glasses great idea care ridiculous look choose whether kid worried fashion protecting eyes eye protection would win every time ugh imagine possibility losing eyesight possibly even whole eye want look silly nope wraparound glasses way,joy
earthquake terrible thankfully injured people frightened ones bad situation could worse people homes lives lives loved ones terrible people particularly safe place stay right thought losing everything catastrophic rebuild life family,fear
sad train wreck cost people lives one hope none injured critical would great could find cause accident say happen statistics could even worse next time wish could prevented,sadness
ridiculous talk shows daytime tv moved like soap opera could done alot good fans became cheap laugh people lost jobs sally jesse raphael families supported told show would renewed harsh blow find case feel put work,anger
unfortunate situation total shame regulations conditions thorough course reputation kennel considered suspect article says business remain open think would best close shop news piece like think many owners bringing pets stay,sadness
fascinating think celebrities fooled easily regular guy course man actions reprehensible jail sentence seems reasonable think celebrities would conscious phishing attacks especially since people gave passwords willingly hard understand legal precedent sending someone jail,surprise
surprise finally learning traumatic middle school everyone involved looking back say person middle school almost like stranger know completely different middle school three years like someone never met god bless mothers stick us throughout,sadness
idea stunning process killing chickens makes sense unfortunately seems work well pieces convoluted technology used one clever enough think solution could eat less meat certainly secret animal agriculture terrible planet hopefully next piece long line information pushing us towards vegetarianism,surprise
pleasant think animals mistreated problems world something like seems rather minor course would great ensure good keeping animals pressing tragedies happening much often human beings focus addressing issues occasional animal mis handling,sadness
found article really sad divers found dead florida cave system sad really depressed reading perhaps gone far sign saying still sad died experienced survived really feel sorry friends family dearly missed please pray families,sadness
article talks pouching africa really sad hearing rhinos need protect animals animals important people poaching poachers deserve die horrible people destroying unique species terrible thing desperately need protect poor rhinoes people,sadness
wow terrible know lot use oreal products read woman getting awful burns using products going sue company think support company get away horrible reaction plain terrible go,anger
read article climate change incredibly fascinating climate change happening really scary humans causing soon major problem us affects life earth people biodiversity affected gone temperatures changing worse simply awful,fear
know love birds article hard read wind turbines killing lot birds including eagles really sad makes feel awful wind turbines renewable sources energy global warming coal awful want poor birds die like read article see,sadness
perception physical world necessarily result universal reaction among receivers see emotions varies depending upon one tendency handle situation situation relates receiver past experiences number factors feelings also known state consciousness resulting emotions sentiments desires people buy products hopes product make feel certain way either happy excited beautiful find product useful way even indirectly support charity altruistic economic reasons people buy beauty products hopes achieving state happiness sense self beauty act expression beauty,neutral
tweets attacked personally explained blog post thursday celebrated end canceled cain tweeted early last week need make sure marvel makes room titles women women kicking ass also tweeted cover last issue encouraged followers buy issue message marvel room comics super stories grown women,neutral
move comes human rights watch published report detailing accounts dozens women girls said sexually abused coerced sex women said raped abused camp leaders vigilante group members policemen soldiers camps borno state capital maiduguri camps set offer aid people displaced fighting nigeria northeast nigeria inspector general police ibrahim idris set special team immediately commence thorough investigation cases alleged sexual abuses exploitation harassments gender based violence professional misconduct statement inspector general office said thursday police security camps beefed victims escaped captivit,sadness
thomas referred case full court shortly midnight justices issued order granting stay request order included statement chief justice john roberts jr explaining believe case merited review supreme court decided vote stay anyway courtesy colleagues roberts wrote four justices voted favor staying execution takes five justices overturn lower court ruling takes four accept case afford opportunity fully consider suitability case review including circumstances vote grant stay courtesy wrote justices thomas samuel alito would rejected requ,neutral
vast majority battleground states republicans overseeing election systems moore told politico last week safe assume rigging process either donald trump anyone else meanwhile downward spiral forced house republicans scramble secure safe majority difficult balancing act die hard supporters moderate independents begun take toll vulnerable senate candidates like new kelly ayotte trailed points poll released thursday polls earlier month showed dead heat party put trump forward race become less suspenseful thriller use favorite trump term show,neutral
certainly feel bad people live horrible conditions however also feel bad regions refugees going huge strain countries accept large numbers homeless depress economy tough situation see sides,sadness
extremely upsetting cultural war going one seems care values muslims general compatible western culture ideology promotes violence terrorism people become less tolerant disgusting dogma things like continue happen muslims want viewed better light west need work reforming religion within,sadness
blame people leaving living area prone natural disasters like area sea level near coast bad idea bad government louisiana blame people getting course nothing stop,anger
responsible killings would baffling would attack officers turns responsible killings good longer harm anyone else must nerve wracking job police officer knowing moment someone could attack good reason,fear
yet another reason strict immigration rules people know dangers face hard feel sorry think giving information dangers stop patrolling waters turning human traffickers back made difficult human traffickers exploit people happen less often,sadness
hello friend distressed reading article bankruptcy american apparel however clear many problems company including ceo company doomed shame company poorly mismanaged maybe different ceo would able survive,fear
hello friend sad thousands hectares tropical forests latin america changed natural habitat grow bananas rise different types diseases focus banana tress alarming hope find cure diseases late realize bananas genetic accident lucky us,sadness
hello friend article cracks someone hates trump think hilarious realistically mother talked son reasons dislikes trump trying convince trump immoral person would better use time makes mad though people called cps people always trying get involved everybody business,anger
hello friend article scared believe high suicide rates become teens understand young teens inclined act impulsively one bad day school triger suicide attempt crazy schools much better job protecting children bullying know impossible eradicate schools parents take issue seriously enough could least reduce number suicides,sadness
hello friend glad wells fargo account hated company long time heard friends account hated surprising wells fargo opening fake accounts imagine headache deal credit report customers compensated big time course nobody prosecuted,disgust
check article remember telling day man bank approached market asking savings plan long short term goals also asked mortgage bet pressures bank workers pennsylvania shady would never want work kind pressure,sadness
wow know tigers trouble makes want research donate national tiger conservation authority must protect animals disturbing poaching still problematic today society heard poaching animals rarely tigers hope something done soon help tigers,surprise
like lena heady even though plays one worst mother television imagine must ball nerves custody dispute imagine go especially since custody seemed agreed upon ex husband seem thinking wylie best interest fight tooth nail kepp son country,joy
sally brampton serve example others talk forgotten demonstrated clear signs needing help system failed terrible loss successful intelligent conflicted woman lost way soon sad see someone struggle depression mental illnesses society needs better help people need especially asking shame happened,sadness
hear environmental cost using coal upsetting read specific people lives changed worse coal mining upsetting hear animals effected elephants invading villages electrocuted hurting humans land taken coal sad people dying lack fresh air water wrong,sadness
go talking political figures forging waging war popular vote switch sides change point view much easy say care common person chair office think parties merged one one mass war get office,disgust
sad article first female fighter pilots must given family great honor think training pilots deal acrobatic flying routines also think women much right become fighter pilot men,sadness
must extremely difficult find lone wolf terrorist begin understand type manpower needed pursue people think mentally ill hard catch commit crime makes think movie minority report type technology might become available advance,neutral
think types tragic accidents far might wrong though hear many think may need reevaluate maintenance techniques try make even uncommon must really devastated family friends lost lives,sadness
although think companies right advertise product willingly also think targeting kids wrong think good health come first advertisement condone advertisements target kids given really know good yet,anger
immigrants country hard time assimilation american culture article blames trump believe things work seems system working intended place trump people need able assimilate keeps country peace think,surprise
another gunman attacking random people houston think scary disgusting mental health days seem time low showing left right need something people act like humans anymore lose empathy others want end life cowardly way,disgust
sad strange case know side would good stop boat look also might mattered depending fell water really care gay fact say harassed matter case anyway,sadness
disturbing says killing chickens still awake like like torturing like europe europe rules supposed done let companies whatever like hard kill something make sure awake,disgust
hear earthquake tanzania deaths scary really prepare something like live california people always warning us san andres fault line get worried thinking bad might get something like happens us,fear
going believe article read something akin torture called conversion therapy something designed quacks supposed convert gay queer people heterosexual kidding people life changed embraced supported regimen poor people go called therapy barbaric would used north korea torture unbelievable people name helping,anger
hey read article craziness isis sometimes articles many names places recognize pronounce get little track point article gues terrorists using people human shields keep take control surroundings areas know un policy doubt care always something going middle east seems nothing gets better people trying live feel like something done improve situation bad since kid doubt get better,sadness
gosh another article middle east terrorists pretty much like one ready earlier things never get better terrorists even allow people leave city holding try reach iraqi army nearby could help maybe un needs step something,neutral
hi read article russia moving military ships near britain deal really figure russian government article says stating want keep major waterways safe know problem maybe creating one,surprise
poor families middle east near city yemen guess much fighting led really unhealthy living conditions new suspected cases cholera time ill young kids even imagine bad living conditions kids deserve better life fear illness,sadness
understand problem see reason get upset seemed like writing emotion situation deserves trees die time replaced something else extremely common get worth given current climate conditions still,sadness
situations like make feel helpless mean utterly awful nothing reading feels like needlessly troubling feeling guilt whole situation brought us invading country could prevented,sadness
completely unacceptable situation military bombs doctors without borders medical facility gall point fingers bombed restitution offer promise keep bombing carrying like mission completed revolting,anger
seems like pretty ordinary occurrence sure families upset less sure kind story deserves space newspaper couple people got sick died anyway mildly sad story noteworthy newsworthy understand stories like run paper,sadness
lot sympathy everyone worried trump administration get wrong worried think author article misidentifies source problem though trump trump situation people institutions supported people institutions ineffective combating deserve lion share blame,anger
article smokers prevalence cancer among cigarette smokers indicated tobacco lobby results weak tobacco control low effort among politicians try stop people smoking quite frankly sure care smokers evidence see yet persist bad habits government much makes little sense worry another person health consciously making decision kill,neutral
nothing immigration long done legally nothing illegal immigrants either often feel pathways citizenship long illegal immigrant commits wrongdoings contributes success economy place staying problem calais france quite often terrorists disguised immigrants make way area commit acts terror harm french citizens french people want help displaced middle east calais mess,neutral
whole situation iraq uprising isis attributed war terror failed attempts establishing democracy middle east truth matter bush administration idea decided invade iraq pretense ridding saddam hussein weapons mass destruction iraq none destroyed iraqi way life lie iraqis may suffered saddam hussein least region stable extremists rare american invasion civilian deaths likely skyrocketed law order thrown well,disgust
article corruption international monetary fund specifically wrongdoing former boss rodrigo rato banking industry rife issues like comes surprise someone trying take advantage system even international organization like imf problem enough prosecutors willing take banking industry put place tired constantly hearing people getting away white collar crimes,disgust
hurts know children may lost parents ordeal may put system passed around multiple families find loving home wonder relatives might willing take wish article informative told comprehensive story happened children spared three adults killed perhaps spat adults involved children ended witnessing traumatic incident either way good comes entire situation,sadness
well nothing article suprising sure either talked much politicians like brag little back whole america greatest country world thing interesting south korea patents per people though,neutral
aww hope story really true mean people still go see elephants perform anywhere people much vocal worried animals quite long time trouble believing story true hope plus elephants really live long,surprise
yuck although think say particularly disturbing women lot women voted misogynistic ass real problem reasonable people bother vote election news depressed stayed home drank wine day work,sadness
really people allowed children really hard poison child mean maybe people high drugs notice kids getting really sad something certainly done,sadness
sad every trouble middle east know grandmother syrian maybe personal kind people crazy fell sorry civilians though united states really take lot refugees,sadness
felt reading excerpt article sad feeling distraught extent know article hearing bad world assured way get poor start day mostly wondering situation richard hong killed los angeles home whos home george stroumbolopoulos like know intricate details went crime murder passion cold blooded moment calculated happen hopefully investigation uncover,sadness
honestly seems world providing place many refugees time find annoying despite people africa middle east evacuated theyre previous worse situations still feel need incite riot cause chaos show ungratefulness barbarity,anger
sad moving forward lifetime see many older actors actresses succumb death many forms makes feel people gain sense time view endless put shoes someone older battling health problems saddens,sadness
im shocked possibility direct knowledge opiate crisis america affects older people adults also young children well opiate overdoses sad brutal thing child stirs shock sadness within think reasons occurs could certainly prevented,surprise
took place close live honestly say alarms brutal world happen always sad noticed police courts could involved preventing thats many violent stories hearing gone recently,fear
read arnold palmer dying fixture sunday afternoons watching golf really wish still around miss course always around since kid even quit playing would major championships think different watching without around genuinely nice man,sadness
article firecracker going protest stupidest thing seen journalists pond scum trying desperately write anything divide people college kids bear firecracker going need institute mandatory military service like israel maybe would scared chickens crying everything,fear
know much cohen read article death heard jeff buckley song course appears shrek also think irish girl cover bird wire like lot work influence much music scene sad got ripped work hard earn fortune informative article worth read know much,sadness
really sick pseudo scientists running around screaming sky falling load garbage science take snapshot earth vastly complicated system millions variables constant flux motion plug model couple hundred hand picked variables pronounce doomed bad science everyone knows,disgust
another doom gloom article trump surprising ethics truth passed journalism long ago trump renewable power wants free market right free market way get renewables efficiency need go global push carbon coddle get fat lazy never move forward paris treaty push toward globalism boon liberals dream elite class ruling world,disgust
hello read article would like share oak trees dying along west coast know interested talked seems caused beetles multiplying faster warm temperatures wish something stop climate change warm temps,sadness
passing article along know think absurd gay men allowed donate blood victims pulse nightclub shooting crazy apparently outdated rules put high risk hiv donate fear spreading hiv super discriminatory hiv found gay men people instead appropriately tested hiv,fear
passing article along remember discussing guess enough doubt death polish former president died plane crash exhuming body people suspect russians actually poisoned crash cover everyone happy though might seem disrespectful,surprise
trouble north dakota pipeline protests brought riot police trying break protestors looks like using rubber bullets arresting lot people scary peacefully protest country without fear injury arrest hope everyone okay,fear
new wildfires across appalachia thought share discussion california wild fires one huge appalachian mountains seems spreading also seen space hopefully everyone gets safe firefighters able contain safely thinking,joy
awww story heartbreaking imagine family going see hopeful find peace something like happened know would guess reminds us life precious appreciate,sadness
cannot believe happened feel bad believe received threats twitter cyber bullying sure cannt imagine happening scary sad cancel account crazy people ughhh hope bullies caught go back account,sadness
unreal many issues come natural disaster like would think could pull together help people cannot imagine would happen us natural dister happened would never recover soo scary thankful people volunteering time help,fear
believe women endure thankful standing trying regain rights crazy things like still go world stand support brave ladies hope undue harm caused,surprise
believe happened ughh scary realize people angry pushing someone front train amazing people control even handle verbal dispute someone easy walk away guess stay away train platform,surprise
man ruining giraffe habitat rothschild giraffe kind sucks humans destroy nature anyway comes right sick hearing endangered species endangered species near nauseating hear people continually express concern things cannot even change habitats going destroyed animals going die humans plague earth pretending going change time soon silly fool hearted wish people would stop pretending concerned things ultimately almost influence anyway,anger
dude believe six year old girl fell elevator shaft died elevator company fault bring back imagine parents must feel looking little boy wondering would like lost horrible yet preventable tragedy feel bad parents wonder could prevented somehow would hard blame somewhat happened deflect guilt horrible must feel one wants lose child egregious tragedy hope pray family,sadness
michael moore man might much look continually nails liberals social values iron fist time predicting trump victory film next serving light post liberals trying wake aspects democratic party tune greater american people listen trump many reasons encourages liberals tell conservative friends hillary popular vote good even time liberals get better tune needs greater american conservative public long since passed,surprise
great barrier reef gbr dead apparently reef mostly destroyed sections coming back life stimulated back recovery despite article proclaiming suffered death stroke know seen outer space magnificent preserve even losing cause true wonder nature know contradicts told earlier trying save species hey whoever said consistency greatest attribute,surprise
immigration problem get worse haitian immigrants going mexico show cali border hope get deported immigrants nothing plague country part save elite ones get areas asia haitians would nothing stimulate economy would end public assistance would cost taxpayers like really afford keep letting stream country good news booted need change nothing good come letting country,disgust
please hug loved ones may gone moments time argument please reconsider happened past let go life short one life live planet cherish enjoy life fullest,joy
cherish works police force offers us every day sleep night police officers patrol streets neighborhoods making sure safe sound may fear police officers see fear serve country law enforcement,joy
married couples please think twice cheat beloved spouse really worth throw away years experiences drain fun random stranger night celebrity scandals joke times look news relationships barely last,disgust
